mes,total,menores,uac,month
6/1/2014,15839,7750,3136,Jun-2014
7/1/2014,7454,2771,1056,Jul-2014
8/1/2014,3960,934,411,Aug-2014
9/1/2014,2534,577,282,Sep-2014
10/1/2014,1347,286,133,Oct-2014
11/1/2014,3059,760,371,Nov-2014
12/1/2014,2098,575,243,Dec-2014
1/1/2015,1270,339,145,Jan-2015
2/1/2015,1694,478,229,Feb-2015
3/1/2015,2098,671,287,Mar-2015
4/1/2015,2478,790,374,Apr-2015
5/1/2015,4540,1516,737,May-2015
6/1/2015,3286,1160,554,Jun-2015
7/1/2015,3415,1307,663,Jul-2015
8/1/2015,7390,1447,733,Aug-2015
9/1/2015,3695,1447,733,Sep-2015
10/1/2015,4044,1601,787,Oct-2015
11/1/2015,3953,1667,826,Nov-2015
12/1/2015,5005,2243,1065,Dec-2015
1/1/2016,1098,419,168,Jan-2016
2/1/2016,3101,1150,604,Feb-2016
3/1/2016,2614,984,520,Mar-2016
4/1/2016,5604,2128,1138,Apr-2016
5/1/2016,4987,1833,942,May-2016
6/1/2016,4518,1686,843,Jun-2016
7/1/2016,5039,1953,935,Jul-2016
8/1/2016,5340,2298,1106,Aug-2016
9/1/2016,5453,2284,1053,Sep-2016
10/1/2016,6961,3106,1313,Oct-2016
11/1/2016,7799,3672,1400,Nov-2016
12/1/2016,7113,3300,1230,Dec-2016
1/1/2017,7042,3300,1230,Jan-2017
2/1/2017,2268,786,308,Feb-2017
3/1/2017,2268,785,308,Mar-2017
4/1/2017,2224,569,250,Apr-2017
5/1/2017,1322,373,171,May-2017
6/1/2017,1812,579,108,Jun-2017
7/1/2017,2189,766,464,Jul-2017
8/1/2017,1208,470,187,Aug-2017
9/1/2017,2720,1008,377,Sep-2017
