mes,total,adultos,menores,uac,ac,month
6/1/2014,15839,8089,7750,3136,4614,14-Jun
7/1/2014,7454,4683,2771,1056,1715,14-Jul
8/1/2014,3960,3026,934,411,523,14-Aug
9/1/2014,2534,1957,577,282,295,14-Sep
10/1/2014,1347,1061,286,133,153,14-Oct
11/1/2014,3059,2299,760,371,389,14-Nov
12/1/2014,2098,1523,575,243,332,14-Dec
1/1/2015,1270,931,339,145,194,15-Jan
2/1/2015,1694,1216,478,229,249,15-Feb
3/1/2015,2098,1427,671,287,384,15-Mar
4/1/2015,2478,1688,790,374,416,15-Apr
5/1/2015,4540,3024,1516,737,779,15-May
6/1/2015,3286,2126,1160,554,606,15-Jun
7/1/2015,3415,2108,1307,663,644,15-Jul
8/1/2015,7390,5943,1447,733,714,15-Aug
9/1/2015,3695,2248,1447,733,714,15-Sep
10/1/2015,4044,2443,1601,787,814,15-Oct
11/1/2015,3953,2286,1667,826,841,15-Nov
12/1/2015,5005,2762,2243,1065,1178,15-Dec
1/1/2016,1098,679,419,168,251,16-Jan
2/1/2016,3101,1951,1150,604,546,16-Feb
3/1/2016,2614,1630,984,520,464,16-Mar
4/1/2016,5604,3476,2128,1138,990,16-Apr
5/1/2016,4987,3154,1833,942,891,16-May
6/1/2016,4518,2832,1686,843,843,16-Jun
7/1/2016,5039,3086,1953,935,1018,16-Jul
8/1/2016,5340,3042,2298,1106,1192,16-Aug
9/1/2016,5453,3169,2284,1053,1231,16-Sep
10/1/2016,6961,3855,3106,1313,1793,16-Oct
11/1/2016,7799,4127,3672,1400,2272,16-Nov
12/1/2016,7113,3813,3300,1230,2070,16-Dec
1/1/2017,7042,3742,3300,1230,2070,17-Jan
2/1/2017,2268,1482,786,308,478,17-Feb
3/1/2017,2268,1483,785,308,477,17-Mar
4/1/2017,2224,1655,569,250,319,17-Apr
5/1/2017,1322,949,373,171,202,17-May
6/1/2017,1812,1233,579,108,471,17-Jun
7/1/2017,2189,1423,766,464,302,17-Jul
8/1/2017,1208,738,470,187,283,17-Aug
9/1/2017,2720,1712,1008,377,631,17-Sep
10/1/2017,3039,1895,1144,462,682,17-Oct
11/1/2017,4374,2672,1702,637,1065,17-Nov
12/1/2017,4950,3000,1950,673,1277,17-Dec
1/1/2018,3858,2237,1621,546,1075,18-Jan
2/1/2018,3838,2291,1547,503,1044,18-Feb
3/1/2018,6259,3743,2516,835,1681,18-Mar
4/1/2018,6937,4107,2830,909,1921,18-Apr
5/1/2018,8328,4906,3422,1499,1923,18-May
6/1/2018,7610,4308,3302,1480,1822,18-Jun
