"issuemonth","date","count","date2","date3"
1,"1/1/2014",688,2014-01-01,2014-01-01
1,"1/1/2015",1932,2015-01-01,2015-01-01
1,"1/1/2016",1096,2016-01-01,2016-01-01
1,"1/1/2017",1142,2017-01-01,2017-01-01
2,"1/2/2014",1460,2014-01-02,2014-02-01
2,"1/2/2015",1954,2015-01-02,2015-02-01
2,"1/2/2016",869,2016-01-02,2016-02-01
2,"1/2/2017",1188,2017-01-02,2017-02-01
3,"1/3/2014",2734,2014-01-03,2014-03-01
3,"1/3/2015",2124,2015-01-03,2015-03-01
3,"1/3/2016",921,2016-01-03,2016-03-01
3,"1/3/2017",1263,2017-01-03,2017-03-01
4,"1/4/2014",3171,2014-01-04,2014-04-01
4,"1/4/2015",2568,2015-01-04,2015-04-01
4,"1/4/2016",1137,2016-01-04,2016-04-01
4,"1/4/2017",984,2017-01-04,2017-04-01
5,"1/5/2014",2604,2014-01-05,2014-05-01
5,"1/5/2015",3078,2015-01-05,2015-05-01
5,"1/5/2016",1703,2016-01-05,2016-05-01
5,"1/5/2017",815,2017-01-05,2017-05-01
6,"1/6/2014",2769,2014-01-06,2014-06-01
6,"1/6/2015",3018,2015-01-06,2015-06-01
6,"1/6/2016",1682,2016-01-06,2016-06-01
6,"1/6/2017",918,2017-01-06,2017-06-01
7,"1/7/2014",2922,2014-01-07,2014-07-01
7,"1/7/2015",2146,2015-01-07,2015-07-01
7,"1/7/2016",1420,2016-01-07,2016-07-01
7,"1/7/2017",818,2017-01-07,2017-07-01
8,"1/8/2014",2092,2014-01-08,2014-08-01
8,"1/8/2015",3498,2015-01-08,2015-08-01
8,"1/8/2016",1838,2016-01-08,2016-08-01
8,"1/8/2017",1026,2017-01-08,2017-08-01
9,"1/9/2014",1627,2014-01-09,2014-09-01
9,"1/9/2015",2846,2015-01-09,2015-09-01
9,"1/9/2016",1777,2016-01-09,2016-09-01
9,"1/9/2017",1111,2017-01-09,2017-09-01
10,"1/10/2014",1586,2014-01-10,2014-10-01
10,"1/10/2015",3010,2015-01-10,2015-10-01
10,"1/10/2016",1629,2016-01-10,2016-10-01
11,"1/11/2014",1070,2014-01-11,2014-11-01
11,"1/11/2015",2780,2015-01-11,2015-11-01
11,"1/11/2016",1607,2016-01-11,2016-11-01
12,"1/12/2014",1350,2014-01-12,2014-12-01
12,"1/12/2015",2870,2015-01-12,2015-12-01
12,"1/12/2016",1804,2016-01-12,2016-12-01
