mes,,uacentered
14-May-17,1-May-14,3333
14-Jun-17,1-Jun-14,3136
14-Jul-17,1-Jul-14,1056
14-Aug-17,1-Aug-14,411
14-Sep-17,1-Sep-14,282
14-Oct-17,1-Oct-14,261
14-Nov-17,1-Nov-14,344
14-Dec-17,1-Dec-14,244
15-Jan-17,1-Jan-15,145
15-Feb-17,1-Feb-15,229
15-Mar-17,1-Mar-15,387
15-Apr-17,1-Apr-15,410
15-May-17,1-May-15,499
15-Jun-17,1-Jun-15,554
15-Jul-17,1-Jul-15,663
15-Aug-17,1-Aug-15,1084
15-Sep-17,1-Sep-15,581
15-Oct-17,1-Oct-15,782
15-Nov-17,1-Nov-15,831
15-Dec-17,1-Dec-15,1065
16-Jan-17,1-Jan-16,350
16-Feb-17,1-Feb-16,422
16-Mar-17,1-Mar-16,520
16-Apr-17,1-Apr-16,1138
16-May-17,1-May-16,942
16-Jun-17,1-Jun-16,843
16-Jul-17,1-Jul-16,935
16-Aug-17,1-Aug-16,1106
16-Sep-17,1-Sep-16,1540
16-Oct-17,1-Oct-16,1313
16-Nov-17,1-Nov-16,1400
16-Dec-17,1-Dec-16,1679
17-Jan-17,1-Jan-17,781
17-Feb-17,1-Feb-17,616
17-Mar-17,1-Mar-17,132
17-Apr-17,1-Apr-17,118
17-May-17,1-May-17,171
17-Jun-17,1-Jun-17,250
17-Jul-17,1-Jul-17,509
17-Aug-17,1-Aug-17,377
