mes,uacentered
1-May-14,3333
1-Jun-14,3136
1-Jul-14,1056
1-Aug-14,411
1-Sep-14,282
1-Oct-14,261
1-Nov-14,344
1-Dec-14,244
1-Jan-15,145
1-Feb-15,229
1-Mar-15,387
1-Apr-15,410
1-May-15,499
1-Jun-15,554
1-Jul-15,663
1-Aug-15,1084
1-Sep-15,581
1-Oct-15,782
1-Nov-15,831
1-Dec-15,1065
1-Jan-16,350
1-Feb-16,422
1-Mar-16,520
1-Apr-16,1138
1-May-16,942
1-Jun-16,843
1-Jul-16,935
1-Aug-16,1106
1-Sep-16,1540
1-Oct-16,1313
1-Nov-16,1400
1-Dec-16,1679
1-Jan-17,781
1-Feb-17,616
1-Mar-17,132
1-Apr-17,118
1-May-17,171
1-Jun-17,250
1-Jul-17,509
1-Aug-17,377
