"","x"
"1","York County Jail, Pa"
"2","Port Isabel Spc"
"3","Mesa Verde Ccf"
"4","Northwest Det. Center"
"5","Eloy Federal Contract Fac"
"6","Polk County Jail, Tx"
"7","Strafford Co. Correction"
"8","Krome North Spc"
"9","Laredo Contract Det. Fac."
"10","San Bernardino Co. Jail"
"11","Florence Spc"
"12","Denver Contract Det. Fac."
"13","Houston Contract Det.fac."
"14","Essex County Jail, Nj"
"15","Torrance/estancia, Nm"
"16","Suffolk Hoc Sbay"
"17","Cca, Florence Correctiona"
"18","Montgomery County Jail"
"19","Cibola County Correctional Center"
"20","Stewart Detention Center"
"21","Nevada Southern Detention"
"22","Henderson Detention"
"23","Wackenhut Corrections Cor, Fl"
"24","Clinton County Corr. Fac."
"25","Corr.corp.of America - Sa"
"26","Adelanto Detention Facility"
"27","Berks County Family Shelt"
"28","Cca Northeast Oh Corrects"
"29","South Texas Fam Residential Center"
"30","Calhoun Co., Battle Cr,mi"
"31","Linn County Jail"
"32","Elizabeth Contract D.f."
"33","Imperial Regional Adult Det Fac"
"34","Los Fresnos Hold Room"
"35","Jena/lasalle Detention Facility"
"36","Alexandria Staging Facility"
"37","Montgomery County"
"38","Prairieland Detention Center"
"39","Dekalb County Detention Center"
"40","Rolling Plains Detention"
"41","Hutto Cca"
"42","South Texas Detention Com"
"43","Pike County Jail, Pa"
"44","Cache Co. Jail"
"45","Seneca County Jail, Oh"
"46","Bergen County Jail"
"47","Baker County Sheriff Dept"
"48","Contra Costa Co Jail/west"
"49","El Centro Spc"
"50","Hall County Sheriff"
"51","Pine Prairie Correctional"
"52","Monterey Co. Jail"
"53","Bristol Cnty Ndartmouth"
"54","Florence Staging Facility"
"55","Dodge County Jail, Juneau"
"56","Brooks County Jail (contr"
"57","Not Detained"
"58","Karnes County Residential Center"
"59","Caldwell County Jail, Mo"
"60","Polk County Jail, Ia"
"61","Irwin County Sheriff"
"62","Cibola County Det Ctr"
"63","Atlanta Pretrial Detn Ctr"
"64","Marshall County Jail"
"65","Butler County Jail, Oh"
"66","East Hidalgo Detention Center"
"67","Buffalo Spc"
"68","Kankakee County Jail"
"69","Hudson County Jail"
"70","Boone County Jail, Ky"
"71","Orange County Jail, Ca"
"72","Carver County Jail"
"73","Columbia Care Center"
"74","International Edu Svc-brownsville"
"75","Allen Parish Public Safety Complex"
"76","Monroe Co., Monroe, Mi."
"77","Unknown"
"78","Sherburne County Jail"
"79","Adams County"
"80","Orange Co Jail, Goshen Ny"
"81","Christian Co Sheriff Dept"
"82","Washoe County Jail"
"83","Webb County Detention Center (cca)"
"84","Glades County Detention C"
"85","Willacy Co  Regional Detn Facil"
"86","Pulaski County Detention"
"87","El Paso Spc"
"88","Yuba County Jail"
"89","Otero County Prison Facility"
"90","Johnson County Jail, Tx"
"91","Rio Grande Detention Center"
"92","James A Musick Facility"
"93","Houston Fo Holdroom"
"94","San Antonio Dro Hold Room"
"95","Port Isabel Police Dept."
"96","Clay Co Jail"
"97","Greenfield House Of Corr."
"98","Tulsa County Jail"
"99","Rio Cosumnes Corrections-rccc"
"100","Kenosha County Jail"
"101","Hardin Co Jail"
"102","Monroe County Jail, Fl"
"103","Mchenry County Sheriff's"
"104","Morgan County Sheriff's D"
"105","Baptist Child & Family Svcs-sna"
"106","Wakulla County Jail"
"107","Theo Lacy Facility"
"108","Douglas County Correction"
"109","Yolo County Jail"
"110","Pulaski County Jail"
"111","Platte County Jail, Mo"
"112","Bristol City Jail"
"113","Calhoun County Jail"
"114","West Texas Detention Facility"
"115","Moshannon Valley Correctional"
"116","San Luis Regional Det Center"
"117","Morrow Co. Correctional Facility"
"118","Yolo Co. Juv. Det."
"119","Karnes County Civil Det. Center"
"120","Pulaski Corr. Center"
"121","Coastal Bend Det. Facility"
"122","Upbring Foster"
"123","Baker County Jail"
"124","Chase County Jail, Ks"
"125","Southwest Key (juvenile)"
"126","Cass County Jail, Ne"
"127","D. Ray James Prison"
"128","Howard County Det Cntr"
"129","Frederick County Det. Cen"
"130","Farmville Detention Center"
"131","Ica - Farmville"
"132","Worcester Co. Jail"
"133","Southwest Key-nueva Esperanza"
"134","Va. Peninsula Reg Jail"
"135","Ies Shelter"
"136","Mckean Fed.corr.inst."
"137","St Clair County Jail"
"138","Southwest Key Conroe"
"139","International Edu Svcs-weslaco"
"140","Shenandoah Valley Juvenile Center"
"141","Clinton County Jail, Ny"
"142","Southwest Key-el Presidente"
"143","Euless City Jail"
"144","Toronto Corr. Facility"
"145","Los Cust Case"
