mes,homicidios
1/1/2012,634
2/1/2012,537
3/1/2012,659
4/1/2012,632
5/1/2012,581
6/1/2012,571
7/1/2012,589
8/1/2012,567
9/1/2012,591
10/1/2012,544
11/1/2012,529
12/1/2012,738
1/1/2013,582
2/1/2013,556
3/1/2013,586
4/1/2013,599
5/1/2013,600
6/1/2013,539
7/1/2013,528
8/1/2013,537
9/1/2013,510
10/1/2013,480
11/1/2013,429
12/1/2013,485
1/1/2014,561
2/1/2014,458
3/1/2014,504
4/1/2014,498
5/1/2014,522
6/1/2014,507
7/1/2014,484
8/1/2014,498
9/1/2014,471
10/1/2014,461
11/1/2014,454
12/1/2014,473
1/1/2015,467
2/1/2015,380
3/1/2015,467
4/1/2015,461
5/1/2015,481
6/1/2015,402
7/1/2015,439
8/1/2015,485
9/1/2015,412
10/1/2015,395
11/1/2015,385
12/1/2015,374
1/1/2016,382
2/1/2016,356
3/1/2016,446
4/1/2016,484
5/1/2016,469
6/1/2016,437
7/1/2016,437
8/1/2016,468
9/1/2016,441
10/1/2016,436
11/1/2016,404
12/1/2016,390
1/1/2017,376
2/1/2017,407
3/1/2017,334
4/1/2017,331
5/1/2017,293
6/1/2017,258
7/1/2017,329
8/1/2017,302
9/1/2017,230
