mes,homicidios,month
1/1/2012,634,Jan-2012
2/1/2012,537,Feb-2012
3/1/2012,659,Mar-2012
4/1/2012,632,Apr-2012
5/1/2012,581,May-2012
6/1/2012,571,Jun-2012
7/1/2012,589,Jul-2012
8/1/2012,567,Aug-2012
9/1/2012,591,Sep-2012
10/1/2012,544,Oct-2012
11/1/2012,529,Nov-2012
12/1/2012,738,Dec-2012
1/1/2013,582,Jan-2013
2/1/2013,556,Feb-2013
3/1/2013,586,Mar-2013
4/1/2013,599,Apr-2013
5/1/2013,600,May-2013
6/1/2013,539,Jun-2013
7/1/2013,528,Jul-2013
8/1/2013,537,Aug-2013
9/1/2013,510,Sep-2013
10/1/2013,480,Oct-2013
11/1/2013,429,Nov-2013
12/1/2013,485,Dec-2013
1/1/2014,561,Jan-2014
2/1/2014,458,Feb-2014
3/1/2014,504,Mar-2014
4/1/2014,498,Apr-2014
5/1/2014,522,May-2014
6/1/2014,507,Jun-2014
7/1/2014,484,Jul-2014
8/1/2014,498,Aug-2014
9/1/2014,471,Sep-2014
10/1/2014,461,Oct-2014
11/1/2014,454,Nov-2014
12/1/2014,473,Dec-2014
1/1/2015,467,Jan-2015
2/1/2015,380,Feb-2015
3/1/2015,467,Mar-2015
4/1/2015,461,Apr-2015
5/1/2015,481,May-2015
6/1/2015,402,Jun-2015
7/1/2015,439,Jul-2015
8/1/2015,485,Aug-2015
9/1/2015,412,Sep-2015
10/1/2015,395,Oct-2015
11/1/2015,385,Nov-2015
12/1/2015,374,Dec-2015
1/1/2016,382,Jan-2016
2/1/2016,356,Feb-2016
3/1/2016,446,Mar-2016
4/1/2016,484,Apr-2016
5/1/2016,469,May-2016
6/1/2016,437,Jun-2016
7/1/2016,437,Jul-2016
8/1/2016,468,Aug-2016
9/1/2016,441,Sep-2016
10/1/2016,436,Oct-2016
11/1/2016,404,Nov-2016
12/1/2016,390,Dec-2016
1/1/2017,376,Jan-2017
2/1/2017,407,Feb-2017
3/1/2017,334,Mar-2017
4/1/2017,331,Apr-2017
5/1/2017,293,May-2017
6/1/2017,258,Jun-2017
7/1/2017,329,Jul-2017
8/1/2017,302,Aug-2017
9/1/2017,230,Sep-2017
